날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2020-01-02,34300,35450,33650,34850,29008,1004482200,0.72
2020-01-03,35000,35200,34300,34950,19150,666029750,0.29
2020-01-06,34650,35050,34250,34600,26980,939004550,-1.0
2020-01-07,35000,35450,34700,35300,19248,678333200,2.02
2020-01-08,35050,35300,33550,33750,31863,1090918700,-4.39
2020-01-09,34100,35050,34100,35050,18116,631110850,3.85
2020-01-10,34800,35100,34550,34800,18052,630392000,-0.71
2020-01-13,34550,35500,34500,35150,18877,666319450,1.01
2020-01-14,35500,35500,34800,35000,19350,679000800,-0.43
2020-01-15,34850,35200,34550,34850,20314,707548350,-0.43
2020-01-16,34800,35100,34500,34500,27086,940348100,-1.0
2020-01-17,34500,35000,34400,34400,18879,652719650,-0.29
2020-01-20,34750,35000,34200,34300,16748,579393100,-0.29
2020-01-21,34100,34500,33650,33800,14727,499150150,-1.46
2020-01-22,33750,34100,33300,33450,18805,632974150,-1.04
2020-01-23,33150,33250,32450,32500,25513,834137650,-2.84
2020-01-28,31550,32000,30250,30700,36237,1125927650,-5.54
2020-01-29,30750,31400,30550,31100,16554,513108300,1.3
2020-01-30,31150,31300,30350,30350,21728,664060900,-2.41
2020-01-31,31400,31400,30300,30350,14862,455383700,0.0
2020-02-03,29800,30500,29450,30100,20465,612161750,-0.82
2020-02-04,29850,30350,29850,29900,18794,564635750,-0.66
2020-02-05,30200,30250,29500,29650,26720,794924450,-0.84
2020-02-06,30000,30400,29700,30350,19477,587861300,2.36
2020-02-07,30150,30550,29850,30100,20966,628950200,-0.82
2020-02-10,29750,30100,29600,29950,17070,508237050,-0.5
2020-02-11,30300,30850,30300,30800,17125,524562050,2.84
2020-02-12,30600,31050,30200,30850,28348,864193900,0.16
2020-02-13,30750,30900,30200,30400,43565,1326388950,-1.46
2020-02-14,30100,30450,30100,30200,13980,422704650,-0.66
2020-02-17,30400,30700,30000,30400,11912,360331500,0.66
2020-02-18,30250,30300,29850,29850,14213,426017800,-1.81
2020-02-19,30100,30100,29400,29600,16902,500691400,-0.84
2020-02-20,29450,29850,29050,29100,20370,596748600,-1.69
2020-02-21,28900,28950,27650,27700,38545,1081483000,-4.81
2020-02-24,26500,27050,25650,25650,38998,1020675650,-7.4
2020-02-25,25450,26600,25000,25900,26663,684358950,0.97
