Name,Score,Review,Link,Addr
개성면옥,1.8,16,https://place.map.kakao.com/24374442,"
서울 구로구 가마산로 204
(지번) 구로동 426-167
"
송주불냉면 구로1점,,9,https://place.map.kakao.com/26874661,"
서울 구로구 구로동로 100 1층
(지번) 구로동 738-47
"
육쌈냉면 가산디지털1호점,2.5,9,https://place.map.kakao.com/2082674867,"
서울 금천구 가마산로 96 대륭테크노타운8차 112호
(지번) 가산동 481-11
"
함흥면옥,0.0,0,https://place.map.kakao.com/21231402,"
서울 구로구 구로동로 112-1
(지번) 구로동 736-8
"
정인면옥평양냉면,4.2,203,https://place.map.kakao.com/17418077,"
경기 광명시 목감로268번길 27-1
(지번) 광명동 91-10
"
금성칡냉면,5.0,2,https://place.map.kakao.com/16083928,"
서울 금천구 가산디지털1로 196 에이스테크노타워10차 지하 1층 102호
(지번) 가산동 470-5
"
대한냉면,0.0,0,https://place.map.kakao.com/1305580883,"
서울 구로구 구로중앙로 88
(지번) 구로동 442-82
"
황가네함흥냉면,4.2,9,https://place.map.kakao.com/16306068,"
서울 구로구 개봉로 52-1
(지번) 개봉동 403-66
"
함흥냉면,0.0,1,https://place.map.kakao.com/16936822,"
서울 구로구 구로중앙로 198
(지번) 구로동 604-1
"
명가함흥 고척점,4.7,4,https://place.map.kakao.com/16591726,"
서울 구로구 경인로47다길 8
(지번) 고척동 46-21
"
화평동왕냉면 개봉점,3.2,5,https://place.map.kakao.com/10970652,"
서울 구로구 경인로40길 12
(지번) 개봉동 178-13
"
송주불냉면 가산디지털점,0.0,13,https://place.map.kakao.com/1648063655,"
서울 금천구 가산디지털1로 171 124호
(지번) 가산동 371-41
"
화평동왕냉면 구로공구점,1.5,0,https://place.map.kakao.com/16501876,"
서울 구로구 구로중앙로 219
(지번) 구로동 612-2
"
용정냉면,0.0,0,https://place.map.kakao.com/15745080,"
서울 구로구 구로동로28길 100
(지번) 구로4동 317-21
"
하동냉면,0.0,1,https://place.map.kakao.com/20528082,"
서울 구로구 공원로9길 19
(지번) 구로동 547-1
"
개성면옥,1.8,16,https://place.map.kakao.com/24374442,"
서울 구로구 가마산로 204
(지번) 구로동 426-167
"
송주불냉면 구로1점,,9,https://place.map.kakao.com/26874661,"
서울 구로구 구로동로 100 1층
(지번) 구로동 738-47
"
육쌈냉면 가산디지털1호점,2.5,9,https://place.map.kakao.com/2082674867,"
서울 금천구 가마산로 96 대륭테크노타운8차 112호
(지번) 가산동 481-11
"
함흥면옥,0.0,0,https://place.map.kakao.com/21231402,"
서울 구로구 구로동로 112-1
(지번) 구로동 736-8
"
정인면옥평양냉면,4.2,203,https://place.map.kakao.com/17418077,"
경기 광명시 목감로268번길 27-1
(지번) 광명동 91-10
"
금성칡냉면,5.0,2,https://place.map.kakao.com/16083928,"
서울 금천구 가산디지털1로 196 에이스테크노타워10차 지하 1층 102호
(지번) 가산동 470-5
"
대한냉면,0.0,0,https://place.map.kakao.com/1305580883,"
서울 구로구 구로중앙로 88
(지번) 구로동 442-82
"
황가네함흥냉면,4.2,9,https://place.map.kakao.com/16306068,"
서울 구로구 개봉로 52-1
(지번) 개봉동 403-66
"
함흥냉면,0.0,1,https://place.map.kakao.com/16936822,"
서울 구로구 구로중앙로 198
(지번) 구로동 604-1
"
명가함흥 고척점,4.7,4,https://place.map.kakao.com/16591726,"
서울 구로구 경인로47다길 8
(지번) 고척동 46-21
"
화평동왕냉면 개봉점,3.2,5,https://place.map.kakao.com/10970652,"
서울 구로구 경인로40길 12
(지번) 개봉동 178-13
"
송주불냉면 가산디지털점,0.0,13,https://place.map.kakao.com/1648063655,"
서울 금천구 가산디지털1로 171 124호
(지번) 가산동 371-41
"
화평동왕냉면 구로공구점,1.5,0,https://place.map.kakao.com/16501876,"
서울 구로구 구로중앙로 219
(지번) 구로동 612-2
"
용정냉면,0.0,0,https://place.map.kakao.com/15745080,"
서울 구로구 구로동로28길 100
(지번) 구로4동 317-21
"
하동냉면,0.0,1,https://place.map.kakao.com/20528082,"
서울 구로구 공원로9길 19
(지번) 구로동 547-1
"
연길냉면,2.6,3,https://place.map.kakao.com/16301847,"
서울 영등포구 대림로29길 42 1층
(지번) 대림동 807-13
"
대가칡냉면,3.3,5,https://place.map.kakao.com/8839552,"
서울 구로구 경인로59길 8
(지번) 신도림동 437-1
"
평양냉면,3.7,101,https://place.map.kakao.com/25049372,"
서울 구로구 고척로10길 65
(지번) 오류동 13-55
"
태천옥,3.5,14,https://place.map.kakao.com/19601378,"
서울 구로구 개봉로 9 1층
(지번) 개봉동 403-95
"
심양대냉면,0.0,0,https://place.map.kakao.com/823979274,"
서울 구로구 구로동로 86
(지번) 구로동 807-16
"
씨따따대냉면,0.0,0,https://place.map.kakao.com/1857876541,"
서울 구로구 구로중앙로 27-1
(지번) 구로동 136-39
"
연변냉면,1.3,0,https://place.map.kakao.com/21560137,"
서울 영등포구 도림로 136
(지번) 대림2동 1050-1
"
길향냉면,0.0,0,https://place.map.kakao.com/1054634327,"
서울 구로구 구로중앙로8길 30
(지번) 구로동 123-13
"
서탑대냉면,0.0,0,https://place.map.kakao.com/293780000,"
서울 구로구 구로동로 15
(지번) 가리봉동 121-21
"
연길순희냉면,5.0,2,https://place.map.kakao.com/1191949388,"
서울 구로구 우마길 14
(지번) 가리봉동 124-11
"
소바애,0.0,1,https://place.map.kakao.com/852881645,"
서울 구로구 디지털로31길 90 삼성래미안아파트 상가동 103호
(지번) 구로동 256-1
"
청천면옥,5.0,0,https://place.map.kakao.com/858986681,"
서울 구로구 공원로8길 11 1층
(지번) 구로동 23
"
육천냉면,0.0,0,https://place.map.kakao.com/17164381,"
경기 광명시 시청로 61-1
(지번) 철산2동 160-3
"
함흥냉면,3.2,110,https://place.map.kakao.com/10643743,"
서울 영등포구 영등포로42길 6
(지번) 영등포동3가 7-32
"
해주냉면,3.6,15,https://place.map.kakao.com/16511269,"
경기 광명시 광이로13번길 21 1층
(지번) 광명동 158-57
"
본함흥냉면곰탕,0.0,0,https://place.map.kakao.com/1999358296,"
서울 구로구 개봉로16가길 11
(지번) 개봉동 261-9
"
연변냉면 대림2호점,4.0,0,https://place.map.kakao.com/14659812,"
서울 영등포구 도림로31길 4
(지번) 대림동 1052-40
"
평미가,3.2,26,https://place.map.kakao.com/12711142,"
서울 양천구 목동동로10길 16
(지번) 신정2동 294-12
"
연변냉면,0.0,0,https://place.map.kakao.com/116485859,"
서울 구로구 우마길 22 1층
(지번) 가리봉동 125-4
"
서탑대냉면,0.0,0,https://place.map.kakao.com/60881250,"
서울 구로구 도림로23길 2
(지번) 구로동 148-13
"
옥천냉면,0.0,1,https://place.map.kakao.com/15462842,"
서울 구로구 새말로 97
(지번) 구로동 3-25
"
연변복무대로냉면,0.0,1,https://place.map.kakao.com/1155682717,"
서울 영등포구 디지털로37길 22
(지번) 대림동 1068-7
"
나루터냉면&오코노미야끼,4.4,21,https://place.map.kakao.com/1817587298,"
경기 광명시 오리로 925 1층
(지번) 광명동 158-237
"
연길순희냉면,0.0,0,https://place.map.kakao.com/21851743,"
서울 영등포구 디지털로37길 25-1
(지번) 대림동 1068-18
"
뚱보냉면,2.8,19,https://place.map.kakao.com/19897866,"
경기 광명시 광이로13번길 9-18 1층
(지번) 광명동 158-18
"
속초코다리냉면,3.0,0,https://place.map.kakao.com/996168462,"
경기 광명시 시청로 45
(지번) 철산동 162
"
시장칡냉면,0.0,0,https://place.map.kakao.com/610040218,"
서울 구로구 경서로 55
(지번) 고척동 136
"
설악산냉면,0.0,0,https://place.map.kakao.com/27359950,"
서울 영등포구 대림로29길 23
(지번) 대림동 714
"
금단냉면,0.0,0,https://place.map.kakao.com/18856002,"
서울 구로구 우마길 22
(지번) 가리봉동 125-4
"
신장면옥,3.8,5,https://place.map.kakao.com/1327120030,"
서울 금천구 가산로 106 101호
(지번) 가산동 772
"
송주불냉면 독산본점,4.1,13,https://place.map.kakao.com/16503356,"
서울 금천구 시흥대로138길 29
(지번) 독산동 988-9
"
율촌냉면식당,0.0,0,https://place.map.kakao.com/21310124,"
경기 광명시 철산로 15
(지번) 철산동 245-9
"
육쌈냉면 광명사거리점,4.3,7,https://place.map.kakao.com/26639808,"
경기 광명시 오리로 961 2층
(지번) 광명동 158-495
"
팔당냉면 구로점,3.0,0,https://place.map.kakao.com/622329888,"
서울 구로구 디지털로34길 27
(지번) 구로동 182-4
"
육쌈냉면 구로점,1.4,18,https://place.map.kakao.com/27594266,"
서울 구로구 시흥대로 569 202호
(지번) 구로동 1125-2
"
진달래냉면,0.0,0,https://place.map.kakao.com/1938409672,"
서울 구로구 남부순환로105길 104
(지번) 가리봉동 124-30
"
왕냉면왕돈까스,5.0,0,https://place.map.kakao.com/16069602,"
서울 양천구 목동로3길 57 106호
(지번) 신정동 276
"
대림심양불고기냉면집,0.0,1,https://place.map.kakao.com/111592482,"
서울 영등포구 도림천로 367
(지번) 대림동 1053-12
"
개봉칡냉면 본점,3.0,0,https://place.map.kakao.com/16535121,"
서울 구로구 경인로35길 113-17
(지번) 고척동 273-3
"
대동면옥,4.5,0,https://place.map.kakao.com/16507216,"
서울 금천구 가산로5길 65
(지번) 가산동 235-61
"
